D11.fq	Pcdh-del.Watson.ref
D2.fq	Pcdh-del.Watson.ref
D12.fq	Pcdh-del.Watson.ref
D3.fq	Pcdh-del.Watson.ref
D13.fq	Pcdh-del.Watson.ref
D4.fq	Pcdh-del.Watson.ref
D14.fq	Pcdh-del.Watson.ref
D5.fq	Pcdh-del.Watson.ref
D15.fq	Pcdh-del.Watson.ref
D6.fq	Pcdh-del.Watson.ref
D16.fq	Pcdh-del.Watson.ref
D7.fq	Pcdh-del.Watson.ref
D17.fq	Pcdh-del.Watson.ref
D8.fq	Pcdh-del.Watson.ref
D18.fq	Pcdh-del.Watson.ref
D9.fq	Pcdh-del.Watson.ref
D19.fq	Pcdh-del.Watson.ref
D10.fq	Pcdh-del.Watson.ref
D20.fq	Pcdh-del.Watson.ref
D21.fq	Pcdh-del.Watson.ref
D31.fq	Pcdh-del.Watson.ref
D22.fq	Pcdh-del.Watson.ref
D32.fq	Pcdh-del.Watson.ref
D23.fq	Pcdh-del.Watson.ref
D33.fq	Pcdh-del.Watson.ref
D24.fq	Pcdh-del.Watson.ref
D34.fq	Pcdh-del.Watson.ref
D25.fq	Pcdh-del.Watson.ref
D35.fq	Pcdh-del.Watson.ref
D26.fq	Pcdh-del.Watson.ref
D36.fq	Pcdh-del.Watson.ref
D27.fq	Pcdh-del.Watson.ref
D37.fq	Pcdh-del.Watson.ref
D28.fq	Pcdh-del.Watson.ref
D38.fq	Pcdh-del.Watson.ref
D29.fq	Pcdh-del.Watson.ref
D39.fq	Pcdh-del.Watson.ref
D30.fq	Pcdh-del.Watson.ref
D40.fq	Pcdh-del.Watson.ref
F41.fq	Pcdh-up.Watson.ref
F42.fq	Pcdh-up.Watson.ref
F1.fq	Pcdh-up.Watson.ref
F11.fq	Pcdh-up.Watson.ref
F2.fq	Pcdh-up.Watson.ref
F12.fq	Pcdh-up.Watson.ref
F3.fq	Pcdh-up.Watson.ref
F13.fq	Pcdh-up.Watson.ref
F4.fq	Pcdh-up.Watson.ref
F14.fq	Pcdh-up.Watson.ref
F5.fq	Pcdh-up.Watson.ref
F15.fq	Pcdh-up.Watson.ref
F6.fq	Pcdh-up.Watson.ref
F16.fq	Pcdh-up.Watson.ref
F7.fq	Pcdh-up.Watson.ref
F17.fq	Pcdh-up.Watson.ref
F8.fq	Pcdh-up.Watson.ref
F18.fq	Pcdh-up.Watson.ref
F9.fq	Pcdh-up.Watson.ref
F19.fq	Pcdh-up.Watson.ref
F10.fq	Pcdh-up.Watson.ref
F20.fq	Pcdh-up.Watson.ref
F21.fq	Pcdh-up.Watson.ref
F31.fq	Pcdh-up.Watson.ref
F22.fq	Pcdh-up.Watson.ref
F32.fq	Pcdh-up.Watson.ref
F23.fq	Pcdh-up.Watson.ref
F33.fq	Pcdh-up.Watson.ref
F24.fq	Pcdh-up.Watson.ref
F34.fq	Pcdh-up.Watson.ref
F25.fq	Pcdh-up.Watson.ref
F35.fq	Pcdh-up.Watson.ref
F26.fq	Pcdh-up.Watson.ref
F36.fq	Pcdh-up.Watson.ref
F27.fq	Pcdh-up.Watson.ref
F37.fq	Pcdh-up.Watson.ref
F28.fq	Pcdh-up.Watson.ref
F38.fq	Pcdh-up.Watson.ref
F29.fq	Pcdh-up.Watson.ref
F39.fq	Pcdh-up.Watson.ref
F30.fq	Pcdh-up.Watson.ref
F40.fq	Pcdh-up.Watson.ref
R41.fq	Pcdh-down.Watson.ref
R42.fq	Pcdh-down.Watson.ref
R1.fq	Pcdh-down.Watson.ref
R11.fq	Pcdh-down.Watson.ref
R2.fq	Pcdh-down.Watson.ref
R12.fq	Pcdh-down.Watson.ref
R3.fq	Pcdh-down.Watson.ref
R13.fq	Pcdh-down.Watson.ref
R4.fq	Pcdh-down.Watson.ref
R14.fq	Pcdh-down.Watson.ref
R5.fq	Pcdh-down.Watson.ref
R15.fq	Pcdh-down.Watson.ref
R6.fq	Pcdh-down.Watson.ref
R16.fq	Pcdh-down.Watson.ref
R7.fq	Pcdh-down.Watson.ref
R17.fq	Pcdh-down.Watson.ref
R8.fq	Pcdh-down.Watson.ref
R18.fq	Pcdh-down.Watson.ref
R9.fq	Pcdh-down.Watson.ref
R19.fq	Pcdh-down.Watson.ref
R10.fq	Pcdh-down.Watson.ref
R20.fq	Pcdh-down.Watson.ref
R21.fq	Pcdh-down.Watson.ref
R31.fq	Pcdh-down.Watson.ref
R22.fq	Pcdh-down.Watson.ref
R32.fq	Pcdh-down.Watson.ref
R23.fq	Pcdh-down.Watson.ref
R33.fq	Pcdh-down.Watson.ref
R24.fq	Pcdh-down.Watson.ref
R34.fq	Pcdh-down.Watson.ref
R25.fq	Pcdh-down.Watson.ref
R35.fq	Pcdh-down.Watson.ref
R26.fq	Pcdh-down.Watson.ref
R36.fq	Pcdh-down.Watson.ref
R27.fq	Pcdh-down.Watson.ref
R37.fq	Pcdh-down.Watson.ref
R28.fq	Pcdh-down.Watson.ref
R38.fq	Pcdh-down.Watson.ref
R29.fq	Pcdh-down.Watson.ref
R39.fq	Pcdh-down.Watson.ref
R30.fq	Pcdh-down.Watson.ref
R40.fq	Pcdh-down.Watson.ref
P41.fq	Pcdh-dup.Watson.ref
P42.fq	Pcdh-dup.Watson.ref
P1.fq	Pcdh-dup.Watson.ref
P11.fq	Pcdh-dup.Watson.ref
P2.fq	Pcdh-dup.Watson.ref
P12.fq	Pcdh-dup.Watson.ref
